taz_key,POINT_X,POINT_Y
1,4780625.733,3742453.712
2,4779526.88,3742267.916
3,4778438.936,3741983.62
4,4779477.471,3741350.172
5,4778240.818,3740756.134
6,4776602.963,3741103.642
7,4776685.169,3740244.732
8,4776612.022,3739084.982
9,4774852.443,3738244.432
10,4775721.847,3736757.505
11,4777695.743,3738494.088
12,4779405.462,3740007.541
13,4780432.223,3740917.431
14,4781176.607,3741576.697
15,4781956.006,3742034.619
16,4781768.898,3740368.183
17,4782652.029,3739088.015
18,4780311.874,3737087.468
19,4778084.191,3735122.452
20,4776914.277,3736099.024
21,4779226.19,3738144.056
22,4781241.926,3743534.708
23,4780208.182,3745062.75
24,4779405.796,3743432.918
25,4778281.354,3743489.667
26,4778359.734,3742664.314
27,4777409.598,3743448.433
28,4776448.287,3742638.949
29,4776775.508,3741819.641
30,4774757.823,3740051.555
31,4774667.979,3740910.042
32,4774565.522,3741933.348
33,4774430.85,3743261.349
34,4774303.186,3744607.823
35,4776073.593,3743947.126
36,4777339.25,3744608.756
37,4778339.464,3745010.836
38,4777850.557,3746186.82
39,4775784.657,3745829.269
40,4774129.061,3746730.07
41,4777148.108,3747688.411
42,4789541.913,3751998.341
43,4769324.525,3747067.242
44,4771501.111,3745898.647
45,4771403.782,3744499.533
46,4772528.033,3742920.105
47,4770670.505,3742222.336
48,4768266.878,3741980.506
49,4768934.62,3743337.219
50,4768162.882,3744900.313
51,4767250.227,3746891.279
52,4761058.7,3745166.607
53,4755922.489,3735086.91
54,4748908.38,3737469.365
55,4749747.704,3739184.804
56,4750536.582,3741043.259
57,4754411.739,3741587.261
58,4754262.199,3739890.814
59,4752610.661,3738030.924
60,4755483.151,3737105.137
61,4755488.433,3738496.621
62,4757306.737,3740219.559
63,4757922.605,3737805.172
64,4760112.397,3737807.156
65,4760152.406,3740457.221
66,4762078.468,3740628.447
67,4762047.949,3737864.977
68,4763487.908,3738013.679
69,4765946.169,3738116.747
70,4765181.273,3740154.726
71,4764873.912,3741770.811
72,4768621.558,3740828.19
73,4771268.287,3741094.844
74,4770092.006,3740130.535
75,4773241.372,3740806.296
76,4773404.307,3738919.923
