OBJECTID,taz_key,GEO_ID2,CoCFlag,Minority_7,LowInc_30,GlobalID,ShapeSTAre,ShapeSTLen,PopDensi,Land_Use
6,25,06075011400,1,1,1,{8C308D54-6D9F-4881-8A56-4985E10AF076},132674.792968750000000,1466.458679602934808,167.14285714300,
15,34,06075010900,0,0,0,{0E76A867-FCEA-4338-9EE2-00034CEAACAA},403424.230468750000000,2579.931090848811436,76.25000000000,
17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,
132,3,06075011700,1,0,1,{E3852A8B-5DBE-4B57-8745-E7CC685AB401},92907.914062500000000,1234.506996915873515,32.99319727890,
10,29,06075011900,0,0,1,{BBE5C455-5F23-4CDE-934B-6DA3565BEDE3},251850.917968750000000,2407.020119083795180,140.56756756800,
16,35,06075010800,0,0,0,{A9520A74-4BEB-40B4-914A-1D209537246E},361694.730468750000000,2432.979064856591322,83.60344827590,
8,27,06075011300,1,1,1,{F74FECFC-8E9C-4D65-8572-04CCF363F6AE},163946.019531250000000,2031.337394231734834,128.07692307700,
11,30,06075012200,1,0,1,{43FBF3FF-124A-4E4E-BE91-A34FFF5BD009},299703.343750000000000,2297.790195975427650,172.41304347800,
148,23,06075010500,0,0,0,{1D4E8072-9207-43AB-A148-AA340B267A99},581874.765625000000000,6217.615239838360139,8.83259911894,
9,28,06075011200,0,0,0,{26789BF8-51EC-45EE-96D9-8E7AF03D7FD8},285845.035156250000000,2245.937304483390562,79.13636363640,
12,31,06075012000,0,0,1,{B7F50755-07D1-4743-8943-470EF73724E3},198576.734375000000000,2023.906133095817040,126.75000000000,
131,2,06075011700,1,0,1,{6FFD04F4-3A8E-4DB1-99F0-FA9E30A14B59},203086.007812500000000,1824.398498469794959,8.55305466238,
18,37,06075010600,1,0,1,{DCA312DA-63FE-4323-8D6C-2A50066AD1CD},305625.160156250000000,2867.287843494629669,95.86046511630,
1,6,06075012100,0,0,1,{65A7FBA7-B655-478C-9248-0F3582B80770},198230.878906250000000,2019.762989649696237,139.41379310300,
14,33,06075011000,0,0,0,{78B63E95-2FE6-487D-BF4D-39AFF69BF94E},377243.632812500000000,2505.725983366043238,86.67796610170,
3,8,06075012500,1,0,1,{FA3728FD-AB54-4546-896E-CBEC4B8FF83A},319910.906250000000000,2490.141633098506190,189.44000000000,
133,4,06075011700,1,0,1,{63FE3160-2F30-4526-8466-B03CD3CCCD0E},133567.984375000000000,1654.281402409932525,7.15025906736,
134,5,06075011700,1,0,1,{1F694CB4-8776-4172-A3A5-11095E27D4CA},344897.328125000000000,2481.371134902715312,17.77988614800,
13,32,06075011100,1,0,1,{78D127DA-CDA4-4E37-B981-CBB3760E4ABC},393816.449218750000000,2553.151575969171063,94.25862068970,
2,7,06075012300,1,0,1,{6B582A52-B64F-4716-8F58-96AB99560124},296337.117187500000000,2278.770513348044915,136.60000000000,
7,26,06075011800,1,1,1,{26D17400-F013-435D-90E7-68CA2333164D},92610.351562500000000,1234.069292409185664,122.23076923100,
147,22,06075010500,0,0,0,{098702A8-B705-4CCA-8403-0D466F234583},512977.320312500000000,5662.372715436399631,23.60319270240,
130,1,06075011700,1,0,1,{90040FEC-61B8-4EAD-A51B-03D326499646},130753.398437500000000,1492.613749851318971,4.03940886700,
4,9,06075012400,1,0,1,{F690C928-C472-4240-B0BF-44B778FF99B6},726428.460937500000000,3616.212017136847862,85.68750000000,
5,24,06075011500,1,1,1,{CEAEEC36-02C5-4B18-BEC3-97A7975FDAF3},255033.156250000000000,2019.084937829646378,27.28205128210,
